Country,GDP
Aruba,2700558659
Afghanistan,19543976895
Angola,1.22E+11
Albania,13038538300
Andorra,3012914131
Arab World,2.58E+12
United Arab Emirates,3.83E+11
Argentina,6.37E+11
Armenia,11536590636
American Samoa,634000000
Antigua and Barbuda,1510084751
Australia,1.32E+12
Austria,4.17E+11
Azerbaijan,40747792238
Burundi,3172416146
Belgium,4.95E+11
Benin,9246696924
Burkina Faso,12322864245
Bangladesh,2.50E+11
Bulgaria,58220973783
Bahrain,35432686170
"Bahamas, The",12162100000
Bosnia and Herzegovina,18054854789
Belarus,54456465473
Belize,1862614800
Bermuda,
Bolivia,37508642113
Brazil,2.05E+12
Barbados,4673500000
Brunei Darussalam,12128089002
Bhutan,2528007911
Botswana,17406565823
Central African Republic,1949411659
Canada,1.65E+12
Central Europe and the Baltics,1.46E+12
Switzerland,6.79E+11
Channel Islands,
Chile,2.77E+11
China,1.22E+13
Cote d'Ivoire,37353276059
Cameroon,34922782311
"Congo, Dem. Rep.",37642482562
"Congo, Rep.",8701334800
Colombia,3.14E+11
Comoros,1068124330
Cabo Verde,1772706451
Costa Rica,57285984448
Caribbean small states,68823642410
Cuba,96851000000
Curacao,
Cayman Islands,
Cyprus,22054225828
Czech Republic,2.16E+11
Germany,3.69E+12
Djibouti,1844674435
Dominica,496727000
Denmark,3.30E+11
Dominican Republic,75931656815
Algeria,1.68E+11
East Asia & Pacific (excluding high income),1.47E+13
Early-demographic dividend,1.13E+13
East Asia & Pacific,2.40E+13
Europe & Central Asia (excluding high income),3.30E+12
Europe & Central Asia,2.15E+13
Ecuador,1.04E+11
"Egypt, Arab Rep.",2.35E+11
Euro area,1.26E+13
Eritrea,
Spain,1.31E+12
Estonia,26611651599
Ethiopia,80561496134
European Union,1.73E+13
Fragile and conflict affected situations,8.23E+11
Finland,2.52E+11
Fiji,5061202767
France,2.58E+12
Faroe Islands,
"Micronesia, Fed. Sts.",336427500
Gabon,15013950984
United Kingdom,2.64E+12
Georgia,15081338092
Ghana,58996776238
Gibraltar,
Guinea,10472514515
"Gambia, The",1489464788
Guinea-Bissau,1346841897
Equatorial Guinea,12293579173
Greece,2.03E+11
Grenada,1126882296
Greenland,
Guatemala,75620095538
Guam,5859000000
Guyana,3621046005
High income,5.16E+13
"Hong Kong SAR, China",3.41E+11
Honduras,22978532897
